epoch,n_clients,n_migs,bandwidth_mhz,total_delay_ms,full_total_delay_ms,tx_delay_ms,uplink_delay_ms,downlink_delay_ms,comp_delay_ms,conflict_rate,load_imbalance,mean_l1,mean_l2,mean_upload_bytes,mean_downlink_bytes,reward
1,10,2,100.0,76.98935102425044,77.48668878031303,1.9893510242504275,1.9893510242504275,0.4973377560626069,75.00000000000001,0.0,0.0,4.0,6.0,5120.0,2048.0,-0.7748668878031303
2,9,2,100.0,75.60933757007544,76.21867514015088,0.6093375700754334,0.6093375700754334,0.6093375700754334,75.00000000000001,0.0,0.11111111111111116,5.111111111111111,5.555555555555555,2958.222222222222,2048.0,-0.7621867514015087
3,8,2,100.0,72.93757719630186,74.89596199383642,2.9375771963018518,2.9375771963018518,1.958384797534568,70.0,0.0,0.0,0.0,4.0,12288.0,5120.0,-0.7489596199383642
4,11,2,100.0,84.51753892164305,85.64692365205381,4.517538921643054,4.517538921643054,1.1293847304107636,80.0,0.0,0.09090909090909088,4.363636363636363,6.0,5399.272727272727,2048.0,-0.8564692365205381
5,9,2,100.0,78.65346967013832,79.87129289351776,3.65346967013831,3.65346967013831,1.2178232233794368,75.00000000000001,0.0,0.11111111111111116,1.7777777777777777,4.888888888888889,8647.111111111111,3185.777777777778,-0.7987129289351775
6,9,2,100.0,77.57360202254405,78.86040303381607,2.573602022544041,2.573602022544041,1.2868010112720205,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,4.888888888888889,10012.444444444445,3185.777777777778,-0.7886040303381606
7,10,2,100.0,83.48394982658914,85.60493728323641,8.483949826589127,8.483949826589127,2.1209874566472817,75.00000000000001,0.0,0.0,3.5,5.5,6144.0,2048.0,-0.856049372832364
8,11,2,100.0,80.79547968673234,81.94765649254664,0.7954796867323336,4.63177099503108,2.31588549751554,75.00000000000001,0.0,0.09090909090909088,4.181818181818182,4.636363636363637,8564.363636363636,4840.727272727273,-0.8194765649254663
9,9,2,100.0,77.26212309163124,78.39318463744685,2.2621230916312243,2.2621230916312243,1.1310615458156121,75.00000000000001,0.0,0.11111111111111116,2.5555555555555554,3.5555555555555554,11832.888888888889,5916.444444444444,-0.7839318463744684
10,9,2,100.0,76.30275307596307,76.9541296139446,1.3027530759630612,1.3027530759630612,0.6513765379815306,75.00000000000001,0.0,0.11111111111111116,4.444444444444445,5.444444444444445,3185.777777777778,2048.0,-0.769541296139446
11,8,2,100.0,72.9795396871851,75.95907937437019,2.9795396871850923,2.9795396871850923,2.9795396871850923,70.0,0.0,0.0,3.0,3.0,7168.0,7168.0,-0.7595907937437019
12,11,2,100.0,83.18562760457915,83.98203450572393,3.1856276045791527,3.1856276045791527,0.7964069011447882,80.0,0.0,0.09090909090909088,4.363636363636363,6.0,5399.272727272727,2048.0,-0.8398203450572392
13,10,2,100.0,79.68777921671985,82.03166882507978,4.687779216719846,4.687779216719846,2.343889608359923,75.00000000000001,0.0,0.0,3.5,4.0,9216.0,5120.0,-0.8203166882507976
14,9,2,100.0,75.59466909880581,76.18933819761162,0.5946690988058008,0.5946690988058008,0.5946690988058008,75.00000000000001,0.0,0.11111111111111116,5.555555555555555,6.0,2048.0,2048.0,-0.7618933819761161
15,11,2,100.0,81.32300748174725,81.98451122262088,1.3230074817472528,1.3230074817472528,0.6615037408736264,80.0,0.0,0.09090909090909088,3.5454545454545454,5.454545454545454,5957.818181818182,2048.0,-0.8198451122262087
16,10,2,100.0,79.72870585130865,82.09305877696296,4.728705851308639,4.728705851308639,2.3643529256543196,75.00000000000001,0.0,0.0,1.0,4.0,14336.0,5120.0,-0.8209305877696296
17,11,2,100.0,82.38101501297767,83.30364188959987,7.381015012977659,7.381015012977659,0.9226268766222073,75.00000000000001,0.0,0.09090909090909088,3.727272727272727,5.545454545454546,8564.363636363636,2048.0,-0.8330364188959988
18,9,2,100.0,77.45194510881963,79.08657518136604,2.4519451088196154,2.4519451088196154,1.6346300725464102,75.00000000000001,0.0,0.11111111111111116,2.2222222222222223,4.333333333333333,7736.888888888889,5461.333333333333,-0.7908657518136604
19,9,2,100.0,77.39177239156481,79.78354478312963,2.391772391564815,2.391772391564815,2.391772391564815,75.00000000000001,0.0,0.11111111111111116,5.444444444444445,6.0,2048.0,2048.0,-0.7978354478312962
20,9,2,100.0,76.08334800984201,77.16669601968401,1.083348009841997,1.083348009841997,1.083348009841997,75.00000000000001,0.0,0.11111111111111116,5.555555555555555,6.0,2048.0,2048.0,-0.7716669601968401
21,10,2,100.0,76.98302686626288,77.9745402993943,1.9830268662628598,1.9830268662628598,0.9915134331314299,75.00000000000001,0.0,0.0,3.5,4.5,6144.0,3072.0,-0.779745402993943
22,9,2,100.0,78.64383427015507,79.25113998184759,3.643834270155069,3.643834270155069,0.6073057116925115,75.00000000000001,0.0,0.11111111111111116,1.3333333333333333,5.111111111111111,10467.555555555555,2958.222222222222,-0.7925113998184758
23,8,2,100.0,71.11110593601487,71.8811688447257,1.111105936014864,0.9405844223628499,0.9405844223628499,70.0,0.0,0.0,4.5,5.5,3072.0,2048.0,-0.718811688447257
24,11,2,100.0,81.46782219671016,82.20173329506524,1.4678221967101603,1.4678221967101603,0.7339110983550802,80.0,0.0,0.09090909090909088,3.5454545454545454,5.454545454545454,5957.818181818182,2048.0,-0.8220173329506523
25,8,2,100.0,71.04730726499926,71.57096089749888,1.047307264999254,1.047307264999254,0.523653632499627,70.0,0.0,0.0,5.0,5.5,3072.0,2048.0,-0.7157096089749888
