epoch,n_clients,n_migs,bandwidth_mhz,total_delay_ms,full_total_delay_ms,tx_delay_ms,uplink_delay_ms,downlink_delay_ms,comp_delay_ms,conflict_rate,load_imbalance,mean_l1,mean_l2,mean_upload_bytes,mean_downlink_bytes,reward
1,10,2,100.0,79.525124799095,84.05024959818999,4.525124799094984,4.525124799094984,4.525124799094984,75.00000000000001,0.0,0.0,2.0,3.5,12288.0,9216.0,-0.8405024959818999
2,9,2,100.0,78.24540593132006,79.05675741415008,3.245405931320057,3.245405931320057,0.8113514828300142,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7905675741415008
3,8,2,100.0,73.91676959506914,76.02540415462364,3.916769595069136,2.582316066267266,3.443088088356354,70.0,0.0,0.0,1.0,2.5,14336.0,10240.0,-0.7602540415462363
4,11,2,100.0,86.77630838246458,95.8113862257507,6.776308382464582,6.776308382464582,9.035077843286109,80.0,0.0,0.09090909090909088,1.3636363636363635,2.8181818181818183,10426.181818181818,9867.636363636364,-0.9581138622575069
5,9,2,100.0,77.4356464467589,78.0445580584486,2.4356464467588737,2.4356464467588737,0.6089116116897184,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.780445580584486
6,9,2,100.0,77.03020908198847,77.53776135248559,2.0302090819884637,2.0302090819884637,0.5075522704971159,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7753776135248559
7,10,2,100.0,87.7259247398837,89.84691219653098,12.72592473988369,12.72592473988369,2.1209874566472817,75.00000000000001,0.0,0.0,1.5,5.5,10240.0,2048.0,-0.8984691219653097
8,11,2,100.0,85.5581251940373,91.11625038807459,5.558125194037296,5.558125194037296,5.558125194037296,80.0,0.0,0.09090909090909088,1.4545454545454546,2.909090909090909,16384.0,10798.545454545454,-0.9111625038807459
9,9,2,100.0,77.26212309163124,77.82765386453903,2.2621230916312243,2.2621230916312243,0.5655307729078061,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7782765386453903
10,9,2,100.0,79.50257509912693,81.08633761564809,9.502575099126929,9.502575099126929,1.5837625165211549,70.0,0.0,0.11111111111111116,1.6666666666666667,5.444444444444445,10012.444444444445,2048.0,-0.810863376156481
11,8,2,100.0,73.97271958291346,74.96589947864182,3.9727195829134567,3.9727195829134567,0.9931798957283642,70.0,0.0,0.0,1.0,5.0,14336.0,3072.0,-0.7496589947864182
12,11,2,100.0,86.3167063557613,92.63341271152261,6.316706355761302,6.316706355761302,6.316706355761302,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-0.926334127115226
13,10,2,100.0,79.80605682708462,84.61211365416924,4.806056827084616,4.806056827084616,4.806056827084616,75.00000000000001,0.0,0.0,2.0,3.5,12288.0,9216.0,-0.8461211365416923
14,9,2,100.0,76.98107137435478,78.20245576016083,1.9810713743547725,3.5153381829260635,4.68711757723475,70.0,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7820245576016083
15,11,2,100.0,84.30946114205973,88.61892228411945,4.309461142059725,4.309461142059725,4.309461142059725,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-0.8861892228411945
16,10,2,100.0,79.72870585130865,82.14333576850473,4.728705851308639,3.0614296150734517,4.0819061534312695,75.00000000000001,0.0,0.0,1.0,2.5,14336.0,10240.0,-0.8214333576850472
17,11,2,100.0,88.8572180155732,97.71443603114639,8.85721801557319,8.85721801557319,8.85721801557319,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-0.9771443603114639
18,9,2,100.0,79.86516504014716,81.08145630018396,4.86516504014715,4.86516504014715,1.2162912600367874,75.00000000000001,0.0,0.11111111111111116,1.1111111111111112,2.6666666666666665,14563.555555555555,9557.333333333334,-0.8108145630018395
19,9,2,100.0,84.56708956625927,86.95886195782408,9.56708956625926,9.56708956625926,2.391772391564815,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.8695886195782407
20,9,2,100.0,77.02671285441933,82.13349771023037,2.0267128544193183,5.200070447241586,6.933427262988781,70.0,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.8213349771023037
21,10,2,100.0,78.8278353069935,79.4658078581591,3.827835306993506,3.827835306993506,0.6379725511655843,75.00000000000001,0.0,0.0,1.5,5.5,10240.0,2048.0,-0.794658078581591
22,9,2,100.0,77.42922284677006,79.69997406112847,2.429222846770046,4.157131740483632,5.542842320644843,70.0,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7969997406112846
23,8,2,100.0,75.6435065341771,83.16818191307989,5.643506534177099,5.643506534177099,7.524675378902799,70.0,0.0,0.0,1.0,2.5,14336.0,10240.0,-0.831681819130799
24,11,2,100.0,82.58740978357766,86.5584070641215,2.58740978357766,5.7792035320607456,5.7792035320607456,75.00000000000001,0.0,0.09090909090909088,2.090909090909091,3.6363636363636362,11915.636363636364,8564.363636363636,-0.8655840706412149
25,8,2,100.0,74.18922905999702,75.77586457094239,4.189229059997016,2.4753705304038793,3.3004940405385064,70.0,0.0,0.0,1.0,2.5,14336.0,10240.0,-0.7577586457094239
26,9,2,100.0,80.49491624567753,81.86864530709691,5.494916245677517,5.494916245677517,1.3737290614193793,75.00000000000001,0.0,0.11111111111111116,1.1111111111111112,2.6666666666666665,14563.555555555555,9557.333333333334,-0.818686453070969
27,9,2,100.0,78.95080381338046,79.93850476672557,3.9508038133804484,3.9508038133804484,0.9877009533451121,75.00000000000001,0.0,0.11111111111111116,1.5555555555555556,3.111111111111111,16384.0,9557.333333333334,-0.7993850476672556
28,11,2,100.0,92.0750325239757,104.15006504795139,12.0750325239757,12.0750325239757,12.0750325239757,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-1.041500650479514
29,8,2,100.0,73.61381550033751,74.51726937542189,3.6138155003375023,3.6138155003375023,0.9034538750843756,70.0,0.0,0.0,1.0,5.0,14336.0,3072.0,-0.7451726937542188
30,11,2,100.0,84.04414140814707,85.47601568631433,4.044141408147067,4.489721008420423,5.986294677893897,75.00000000000001,0.0,0.09090909090909088,1.6363636363636365,3.1818181818181817,10053.818181818182,8564.363636363636,-0.8547601568631432
31,11,2,100.0,83.13694832307657,91.27389664615312,8.136948323076561,8.136948323076561,8.136948323076561,75.00000000000001,0.0,0.09090909090909088,2.090909090909091,3.6363636363636362,11915.636363636364,8564.363636363636,-0.9127389664615312
32,11,2,100.0,84.69461461818122,89.38922923636243,4.694614618181209,4.694614618181209,4.694614618181209,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-0.8938922923636242
33,11,2,100.0,82.38572806411477,83.47496758481982,2.385728064114779,3.6321289649227753,4.842838619897034,75.00000000000001,0.0,0.09090909090909088,1.6363636363636365,3.1818181818181817,10053.818181818182,8564.363636363636,-0.8347496758481983
34,10,2,100.0,78.1390957338258,78.6622783561301,3.1390957338257874,3.1390957338257874,0.523182622304298,75.00000000000001,0.0,0.0,1.5,5.5,10240.0,2048.0,-0.786622783561301
35,9,2,100.0,77.42064967458693,79.2413529856201,2.4206496745869055,3.960579850980042,5.280773134640056,70.0,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.792413529856201
36,11,2,100.0,90.65051775274036,92.42560404486375,10.650517752740354,10.650517752740354,1.7750862921233925,80.0,0.0,0.09090909090909088,1.3636363636363635,5.545454545454546,10426.181818181818,2048.0,-0.9242560404486374
37,9,2,100.0,77.92720481532012,78.65900601915014,2.9272048153201076,2.9272048153201076,0.7318012038300269,75.00000000000001,0.0,0.11111111111111116,2.111111111111111,3.6666666666666665,11832.888888888889,8419.555555555555,-0.7865900601915014
38,9,2,100.0,77.02423413568857,77.91821262237622,2.024234135688557,3.393519695304093,4.524692927072123,70.0,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7791821262237622
39,9,2,100.0,77.25402508934822,77.81753136168525,2.2540250893482088,2.2540250893482088,0.5635062723370522,75.00000000000001,0.0,0.11111111111111116,1.6666666666666667,3.2222222222222223,10012.444444444445,8419.555555555555,-0.7781753136168525
40,11,2,100.0,82.74716676713483,84.71909488953519,2.747166767134827,4.859547444767585,4.859547444767585,75.00000000000001,0.0,0.09090909090909088,2.090909090909091,3.6363636363636362,11915.636363636364,8564.363636363636,-0.8471909488953518
41,10,2,100.0,81.11805455686,87.23610911371999,6.118054556859981,6.118054556859981,6.118054556859981,75.00000000000001,0.0,0.0,2.0,3.5,12288.0,9216.0,-0.8723610911371998
42,11,2,100.0,82.84389242773318,84.72128406814608,2.8438924277331874,4.860642034073037,4.860642034073037,75.00000000000001,0.0,0.09090909090909088,2.090909090909091,3.6363636363636362,11915.636363636364,8564.363636363636,-0.8472128406814607
43,11,2,100.0,85.07041629679904,90.14083259359808,5.070416296799044,5.070416296799044,5.070416296799044,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-0.9014083259359807
44,11,2,100.0,82.2547502784092,86.85275689446314,2.2547502784092006,5.926378447231568,5.926378447231568,75.00000000000001,0.0,0.09090909090909088,2.090909090909091,3.6363636363636362,11915.636363636364,8564.363636363636,-0.8685275689446315
45,8,2,100.0,75.45865687095886,77.16910788517683,5.458656870958853,3.072474807932923,4.096633077243896,70.0,0.0,0.0,1.0,2.5,14336.0,10240.0,-0.7716910788517681
46,9,2,100.0,83.2197619239049,85.27470240488113,8.21976192390489,8.21976192390489,2.0549404809762226,75.00000000000001,0.0,0.11111111111111116,1.1111111111111112,4.888888888888889,14563.555555555555,3185.777777777778,-0.8527470240488112
47,10,2,100.0,78.32012616985153,78.87348053149346,3.320126169851533,3.320126169851533,0.5533543616419222,75.00000000000001,0.0,0.0,1.5,5.5,10240.0,2048.0,-0.7887348053149346
48,10,2,100.0,80.7824477166657,86.5648954333314,5.7824477166657,5.7824477166657,5.7824477166657,75.00000000000001,0.0,0.0,2.0,3.5,12288.0,9216.0,-0.865648954333314
49,8,2,100.0,73.17222054179072,75.55372959981506,3.1722205417907077,2.3801698284921633,3.1735597713228847,70.0,0.0,0.0,1.0,2.5,14336.0,10240.0,-0.7555372959981506
50,11,2,100.0,97.11956340028495,114.23912680056989,17.119563400284946,17.119563400284946,17.119563400284946,80.0,0.0,0.09090909090909088,1.9090909090909092,3.3636363636363638,12660.363636363636,9867.636363636364,-1.142391268005699
51,16,5,100.0,85.22138923582209,89.02673654477762,15.221389235822091,15.221389235822091,3.8053473089555228,70.0,0.0,0.06250000000000001,1.8125,3.0625,12544.0,8320.0,-0.8902673654477762
52,15,5,100.0,72.27625341378933,79.55250682757867,7.2762534137893375,7.2762534137893375,7.2762534137893375,65.0,0.0,0.0,1.8,3.0,12288.0,8601.6,-0.7955250682757866
53,19,5,100.0,80.22015155547113,88.91147720725023,10.22015155547113,9.455738603625107,9.455738603625107,70.0,0.0,0.052631578947368376,1.5263157894736843,2.736842105263158,14228.21052631579,9269.894736842105,-0.8891147720725023
54,17,5,100.0,79.41519893756865,88.83039787513728,9.41519893756863,9.41519893756863,9.41519893756863,70.0,0.0,0.08823529411764704,1.7647058823529411,2.9411764705882355,12769.882352941177,8794.35294117647,-0.8883039787513727
55,19,5,100.0,81.3049642986979,92.60992859739578,11.30496429869788,11.30496429869788,11.30496429869788,70.0,0.0,0.052631578947368376,1.5263157894736843,2.736842105263158,14228.21052631579,9269.894736842105,-0.9260992859739577
